	summarized	lineages	abundances	resid	coverage
SRR18680464.fastq	[('Omicron', 0.8923479999922321), ('Delta', 0.06701900000016181), ('Other', 0.04063300000495561)]	BA.1.1 BA.1.1.16 BA.1.1.10 AY.74 B.1.1.529 BA.1.1.4 BA.1.18 B.20 B	0.37481400 0.30974600 0.08404000 0.06701900 0.05035600 0.04429200 0.02910000 0.02112500 0.01950800	4.747099209014512	97.07682531188334
SRR18680449.fastq	[('Omicron', 0.8250699997391562), ('Delta', 0.09847699999462438), ('Other', 0.0753680000395297)]	BA.1.1.16 BA.1.1 BA.1.1.17 BA.1.9 AY.74 miscBA2BA1PostSpike B.1.617.2 B.11 BA.1.20 BA.1.1.4 BA.1.15 B.4 BA.1.10	0.28024200 0.25143200 0.15439000 0.07540300 0.07392400 0.03872600 0.02455300 0.02332600 0.02283700 0.02266600 0.01484900 0.01331600 0.00325100	5.330474649833979	97.07682531188334
SRR18680468.fastq	[('Omicron', 0.9194489999970067), ('Other', 0.07152500000360623), ('Delta', 0.009026000000225453)]	BA.1.1.16 BA.1.1 BA.1.1.10 BA.1.15 B miscDeltaBA1Post4k BA.1.1.4 BA.1.1.17 BA.1.18 AY.25 B.4	0.34213600 0.25695200 0.16902800 0.10985300 0.03963500 0.02877500 0.01723400 0.01374700 0.01049900 0.00902600 0.00311500	2.3319181345071183	97.07682531188334
SRR18680453.fastq	[('Omicron', 0.926159999985076), ('Other', 0.06202999983500681), ('Delta', 0.01181000000716129)]	BA.1.1 BA.1.1.16 BA.1.1.10 BA.1.15 B.20 B.1.1.529 BA.1.1.14 proposed467 B.1.617.2 BA.1.17.2 BA.1.17 BA.5 B.11	0.38437900 0.29166100 0.11726700 0.04305800 0.04048600 0.03705800 0.02462100 0.01788200 0.01181000 0.01136500 0.01136500 0.00538600 0.00366200	3.814692623035647	97.07682531188334
SRR18680472.fastq	[('Omicron', 0.9192359999863051), ('Other', 0.04136600006266087), ('Delta', 0.03939799989852267)]	BA.1.1.16 BA.1.1 BA.1.9 BA.1.15 BA.1.1.10 BA.1.17.2 BA.1.17 BA.1.1.14 AY.103 B.20 B.26 BA.1.1.18 AY.25.3 AY.4.11 B.1.378 B.11 AY.9 B.1.1.529 BA.1.14 AY.45 BA.1.1.4 BA.1.18 AY.4.2 B B.1.81 B.1.384 B.4	0.46648400 0.18407000 0.08028100 0.04770300 0.04709800 0.02380700 0.02380700 0.01892400 0.01203600 0.01144900 0.01077000 0.00967400 0.00757900 0.00745700 0.00640500 0.00628800 0.00584700 0.00582000 0.00572800 0.00392000 0.00318200 0.00265800 0.00255900 0.00191500 0.00176700 0.00150600 0.00126600	4.451318198667732	97.07682531188334
SRR18680483.fastq	[('Omicron', 0.8128260000015709), ('Delta', 0.16102800008407114), ('Other', 0.02614599999225924)]	BA.1.9 BA.1.15 B.1.617.2 BA.1.1 B.4	0.34809500 0.30607500 0.16102800 0.15865600 0.02614600	7.331103238186913	97.07682531188334
SRR18680465.fastq	[('Omicron', 0.9295829995999623), ('Other', 0.04202000019745449), ('Delta', 0.028396999821454008)]	BA.1.1.16 BA.1.1 BA.1.1.10 BA.1.9 BA.1.15 B.20 AY.45 B.4 AY.25 BA.1.1.18 BA.1.17.2 BA.1.17 B.1.1.529 B	0.51098300 0.19699100 0.07984600 0.06462500 0.03195000 0.02325600 0.01516800 0.01334700 0.01322900 0.01269000 0.01190300 0.01190300 0.00869200 0.00541700	5.477787788991202	97.07682531188334
SRR18680448.fastq	[('Omicron', 0.8384369998726763), ('Other', 0.10029500005160984), ('BA.2* [Omicron (BA.2.X)]', 0.061268000006586665)]	BA.1.1 BA.1.1.16 BA.1.1.10 BA.1.15 miscBA2BA1PostSpike B.1.14 BA.1.9 BA.2.12 BA.2.38 BA.1.1.18 B B.1.378 BA.1.17.2 BA.1.17	0.35400900 0.30532300 0.06166600 0.04674700 0.03725800 0.03573000 0.03510100 0.03063400 0.03063400 0.02662800 0.01690200 0.01040500 0.00448150 0.00448150	5.011587809033307	97.07682531188334
SRR18680469.fastq	[('Omicron', 0.9319929998759439), ('Other', 0.03202400008108567), ('Delta', 0.025120999996480087), ('A', 0.010120999998766127)]	BA.1.1.16 BA.1.1 BA.1.9 BA.1.1.14 BA.1.17 BA.1.17.2 BA.1.15 BA.1.1.10 B AY.25.3 BA.1.1.4 A B.1.572 B.1.1.529	0.31869500 0.30577600 0.08316800 0.05054200 0.04320150 0.04320150 0.03398200 0.03030300 0.02812800 0.02512100 0.02013100 0.01012100 0.00389600 0.00299300	3.9887961683548094	97.07682531188334
SRR18680452.fastq	[('Delta', 0.9665689999968522), ('Other', 0.03278199999713084)]	AY.74 AY.25 AY.38 B B.1.617.2 B.1	0.74190600 0.15777200 0.05765200 0.02395900 0.00923900 0.00882300	4.0313437378981725	97.07682531188334
SRR18680473.fastq	[('Omicron', 0.9029109999929059), ('Delta', 0.057934999999052696), ('Other', 0.03915400000419959)]	BA.1.1.16 BA.1.1.10 BA.1.1 BA.1.9 BA.1.1.14 AY.25 AY.25.1 B BA.1.15 B.20 BA.1.17 BA.1.17.2 B.1.1.529 B.45 B.1.439 B.1.78 AY.103	0.46437800 0.18791100 0.12006100 0.05822100 0.03218000 0.03207900 0.02334700 0.01855300 0.01710700 0.00959600 0.00795500 0.00795500 0.00714300 0.00528300 0.00317500 0.00254700 0.00250900	4.585654508816319	97.07682531188334
SRR18680482.fastq	[('Omicron', 0.7432460000613266), ('Delta', 0.1902690000274263), ('Other', 0.06648499996395037)]	BA.1.9 BA.1.1.16 AY.9 B.1.617.2 AY.113 B.4 AY.75 miscDeltaBA1Post4k AY.56 B.1.1.529 AY.103	0.64250200 0.08191400 0.04728500 0.03845600 0.03492500 0.03388300 0.03363900 0.03260200 0.02041400 0.01883000 0.01555000	7.130810855602293	97.07682531188334
SRR18680462.fastq	[('Delta', 0.9581270000001715), ('Other', 0.04187299999928344)]	AY.25.1 B B.1.147	0.95812700 0.03745500 0.00441800	2.949030246061239	97.07682531188334
SRR18680459.fastq	[('Omicron', 0.9255939999802024), ('Other', 0.051618999996352645), ('Delta', 0.022786999990687867)]	BA.1.1.16 BA.1.1 BA.1.15 BA.1.1.10 BA.1.18 B BA.1.1.14 AY.111 B.1.378 AY.25 AY.103 B.18 B.1.578 XM B.1.22 AY.104 B.11	0.39958300 0.35124900 0.07672300 0.04114100 0.03997300 0.03041200 0.01295800 0.00839600 0.00732500 0.00575700 0.00528300 0.00435500 0.00430600 0.00396700 0.00386500 0.00335100 0.00135600	3.968642639552936	97.07682531188334
SRR18680478.fastq	[('Omicron', 0.9140669998569181), ('Delta', 0.05462799998404765), ('Other', 0.03130500004001752)]	BA.1.1.16 BA.1.1.10 BA.1.1 BA.1.9 BA.1.1.14 BA.1.15 B.1.1.529 B AY.27 BA.1.17.2 BA.1.17 BA.1.12 BA.1.1.4 AY.103 AY.25 AY.131 AY.4.2.1 AY.43.7 BA.1.6 AY.122 B.1.13 B.42	0.25900600 0.18532100 0.15237500 0.14276200 0.04459700 0.03719400 0.02660100 0.02579700 0.01788000 0.01762900 0.01762900 0.01365200 0.01309400 0.00922800 0.00689100 0.00627000 0.00596600 0.00515800 0.00420700 0.00323500 0.00291800 0.00259000	5.220184321515786	97.07682531188334
SRR18680485.fastq	[('Delta', 0.9644929999430024), ('Other', 0.03529399997278094)]	AY.103 AY.25 B B.1.617.2	0.61679500 0.34238900 0.03529400 0.00530900	7.74172385989881	97.07682531188334
